Designator,Mid X,Mid Y,Rotation,Layer
MX72,37.94146,-126.365032,0.0,top
MX73,61.75396,-126.365032,0.0,top
MX74,133.19146,-126.365032,0.0,top
MX75,228.44146,-126.365032,0.0,top
MX8,145.09771,-50.165032,0.0,top
MX9,164.14771,-50.165032,0.0,top
R1,52.45771,-75.685032,270.0,bottom
R2,35.08771,-59.918782,180.0,bottom
R3,35.08771,-57.418782,180.0,bottom
R4,32.57146,-97.115032,90.0,bottom
SW1,57.99146,-76.650032,180.0,bottom
U1,40.97146,-58.668782,90.0,bottom
U2,31.30146,-78.923782,270.0,bottom
Y1,43.70771,-78.835032,0.0,bottom
